date,ID Number,puzzle_idx,Puzzle Number,expected result,is_correct_str,blame_target,user_solution,robot_s,timer_value
12/08/2022 13:17:40,59,5,6,1,correct,none,10,42,58
12/08/2022 13:22:00,59,1,2,0,incorrect,none,0,-1,99
12/08/2022 13:27:05,59,2,3,0,incorrect,none,25,3,101
12/08/2022 13:29:56,59,4,5,1,correct,none,43,31,84
12/08/2022 13:33:05,59,0,1,0,incorrect,none,12,-43,70
12/08/2022 13:37:20,59,3,4,0,incorrect,none,-5,42,148
16/08/2022 13:22:25,60,5,6,1,correct,none,44,39,125
16/08/2022 13:27:18,60,2,3,0,incorrect,none,-10,-3,96
16/08/2022 13:33:18,60,1,2,0,incorrect,none,-10,-2,177
16/08/2022 13:37:06,60,4,5,1,correct,none,43,41,100
16/08/2022 13:40:57,60,0,1,0,incorrect,none,-38,47,106
16/08/2022 13:46:33,60,3,4,0,incorrect,none,-21,48,178
16/08/2022 14:41:36,61,5,6,1,correct,none,10,47,161
16/08/2022 14:47:30,61,3,4,0,incorrect,none,-15,42,173
16/08/2022 14:52:22,61,1,2,0,incorrect,none,30,2,142
16/08/2022 14:57:33,61,4,5,1,correct,none,-10,-48,177
16/08/2022 15:02:14,61,0,1,0,incorrect,none,38,-45,161
16/08/2022 15:06:47,61,2,3,0,incorrect,none,0,-2,166
