Timestamp,ID Number,I was able to evaluate and find supporting evidence for every statement on the challenge.,Did you and the robot succeed at solving the challenge?,Where was the robot's feedback directed?,How discouraged irritated stressed and annoyed were you?,How successful was the robot in accomplishing what it was asked to do?,How successful were you in accomplishing what you were asked to do?,I agreed with the feedback the robot gave.,I am primarily responsible for the outcome of the task.,Sawyer is primarily responsible for the outcome of the task.,How difficult was the challenge for you?,I believe that I calculated the correct sort for the artifact. (Keep or Discard),I believe that the robot calculated the correct sort for the artifact. (Keep or Discard),I should have done better on the task.,Puzzle Number
7/20/2022 15:20:13,51,2,1,"Robot, Me",7,2,1,2,7,5,7,1,2,7,4
7/22/2022 14:51:31,49,7,7,None,1,7,7,7,1,2,2,7,7,1,6
7/22/2022 14:58:31,49,7,2,None,1,1,6,4,4,4,2,7,3,1,1
7/22/2022 15:05:39,49,1,1,None,4,4,1,4,7,4,6,1,5,7,2
7/22/2022 15:10:55,49,7,7,Me,2,7,7,7,4,4,3,7,7,1,5
7/22/2022 15:16:30,49,1,1,None,3,4,2,4,4,4,5,1,4,4,3
7/22/2022 15:22:17,49,1,1,None,3,4,4,4,4,4,5,2,3,4,5
7/26/2022 14:45:16,22,7,7,Me,1,4,5,6,1,1,4,6,7,4,6
7/26/2022 14:50:27,22,1,1,Me,1,6,1,7,7,7,7,3,7,7,3
7/26/2022 14:55:18,22,7,1,Robot,1,1,7,7,1,7,1,7,1,1,1
7/26/2022 14:59:34,22,7,7,Me,1,7,7,7,4,4,1,7,7,4,5
7/26/2022 15:04:58,22,3,5,Robot,1,5,5,7,4,4,5,5,7,1,2
7/26/2022 15:10:32,22,1,1,Me,4,4,4,6,6,6,7,3,6,6,4
7/27/2022 13:20:06,23,7,5,"Robot, Me",1,5,5,7,6,3,1,6,5,2,6
7/27/2022 13:25:24,23,1,1,Me,6,4,2,3,3,6,5,3,3,7,4
7/27/2022 13:28:20,23,7,1,Robot,2,2,6,6,5,6,1,7,2,1,1
7/27/2022 13:31:18,23,7,7,None,1,7,7,6,6,5,1,6,6,1,5
7/27/2022 13:35:37,23,1,1,Robot,1,2,2,5,5,5,6,5,5,6,2
7/27/2022 13:40:09,23,1,1,Me,6,5,1,4,7,4,7,2,5,7,3
7/28/2022 10:51:22,52,7,7,"Robot, Me",1,7,7,7,1,1,1,7,7,1,6
7/28/2022 10:56:20,52,3,2,None,1,4,2,4,4,4,3,3,3,5,3
7/28/2022 11:00:17,52,5,1,None,1,3,3,4,2,4,3,5,2,4,1
7/28/2022 11:02:25,52,7,7,"Robot, Me",1,7,7,7,4,4,1,7,7,1,5
7/28/2022 11:06:21,52,5,4,None,1,7,7,4,4,4,2,5,3,2,2
7/28/2022 11:10:33,52,2,1,None,2,7,1,4,4,4,4,1,1,3,4
8/9/2022 9:20:23,53,6,6,Me,2,7,6,6,1,2,7,6,7,2,6
8/9/2022 9:26:13,53,3,1,Me,1,3,4,2,1,7,7,3,2,7,4
8/9/2022 9:31:18,53,6,4,None,4,2,5,2,7,1,2,6,3,2,1
8/9/2022 9:35:55,53,4,6,Me,1,7,1,6,1,7,5,1,7,7,5
8/9/2022 9:41:47,53,4,3,"Robot, Me",2,3,3,5,6,4,4,6,3,5,2
8/9/2022 9:47:20,53,4,3,None,5,3,3,3,3,3,3,5,6,3,3
8/9/2022 11:07:07,54,7,7,Me,2,6,6,7,6,5,5,7,6,2,6
8/9/2022 11:13:00,54,5,1,Robot,2,2,4,4,2,6,7,2,3,5,1
8/9/2022 11:18:33,54,2,1,Robot,3,6,2,6,2,6,7,3,6,6,2
8/9/2022 11:22:56,54,7,7,None,1,6,6,6,4,4,1,7,6,2,5
8/9/2022 11:27:54,54,5,2,Robot,1,2,6,2,2,6,6,6,2,3,4
8/9/2022 11:33:05,54,4,2,Me,2,3,3,6,3,4,5,5,6,3,3
8/9/2022 13:16:59,55,7,7,Me,2,7,4,7,5,6,5,4,7,6,6
8/9/2022 13:22:55,55,2,2,Me,2,5,4,7,2,5,6,2,2,4,2
8/9/2022 13:26:38,55,7,1,None,6,1,7,7,1,7,2,7,1,1,1
8/9/2022 13:30:37,55,7,7,Me,1,7,7,7,4,4,1,7,7,1,5
8/9/2022 13:35:48,55,7,1,Me,6,1,5,5,1,7,6,7,1,1,4
8/9/2022 13:40:44,55,7,3,Me,1,7,7,4,1,1,5,7,6,1,3
8/9/2022 14:47:11,56,7,6,Me,1,6,6,7,7,7,2,7,6,4,6
8/9/2022 14:52:48,56,3,2,Me,3,3,3,6,7,7,3,4,2,7,3
8/9/2022 14:57:22,56,7,2,Me,4,2,7,3,1,7,2,7,1,3,1
8/9/2022 15:01:22,56,7,7,Me,1,7,7,7,4,4,1,7,7,2,5
8/9/2022 15:06:01,56,5,1,Me,3,3,6,3,2,7,4,7,2,3,4
8/9/2022 15:11:22,56,4,2,Me,4,5,3,6,6,2,4,5,5,6,2
8/10/2022 10:56:08,24,7,7,Me,1,7,7,6,7,7,4,7,7,4,6
8/10/2022 11:00:33,24,5,1,Robot,1,3,5,5,2,6,3,5,3,3,1
8/10/2022 11:05:40,24,1,2,Robot,2,6,3,4,6,2,7,3,2,6,2
8/10/2022 11:10:16,24,7,7,"Robot, Me",1,7,7,7,6,6,2,7,7,1,5
8/10/2022 11:14:51,24,1,1,Me,1,6,1,7,7,6,7,1,7,7,4
8/10/2022 11:19:08,24,6,1,Me,4,4,5,2,4,4,6,6,2,4,3
8/10/2022 13:19:55,25,5,7,"Robot, Me",3,6,5,7,3,5,6,5,7,6,6
8/10/2022 13:25:30,25,6,3,Robot,2,6,5,4,5,4,6,6,4,4,2
8/10/2022 13:29:41,25,7,3,Robot,2,3,6,6,2,5,2,7,3,2,1
8/10/2022 13:32:43,25,7,7,"Robot, Me",1,7,7,7,5,5,5,7,7,5,5
8/10/2022 13:37:39,25,1,1,Me,4,7,2,7,7,1,7,1,7,7,4
8/10/2022 13:41:58,25,5,3,Me,4,5,5,4,3,3,6,6,6,5,3
8/10/2022 14:08:26,26,6,6,Me,4,6,6,6,4,4,2,6,6,3,6
8/10/2022 14:13:56,26,3,7,Me,3,7,2,7,7,1,2,1,7,6,3
8/10/2022 14:18:45,26,6,2,Robot,5,2,5,6,4,6,3,6,3,6,1
8/10/2022 14:22:29,26,7,7,"Robot, None",1,7,7,7,4,4,1,7,7,1,5
8/10/2022 14:27:03,26,1,4,Me,6,2,2,5,7,4,5,1,6,6,4
8/10/2022 14:31:30,26,6,5,Robot,6,2,6,5,4,6,2,7,2,2,2
8/11/2022 9:00:42,27,7,6,None,2,7,5,6,2,6,5,6,7,7,6
8/11/2022 9:07:21,27,6,2,Me,6,2,6,1,2,6,7,7,2,2,4
8/11/2022 9:12:34,27,6,2,Robot,2,2,6,7,1,7,4,7,1,2,1
8/11/2022 9:16:25,27,7,7,None,1,7,7,7,4,4,2,7,7,1,5
8/11/2022 9:22:40,27,6,2,Me,6,3,3,5,5,3,2,1,2,2,3
8/11/2022 9:27:49,27,6,2,Robot,5,3,2,2,6,2,3,1,3,5,2
8/11/2022 10:44:30,28,7,6,"Robot, Me",1,6,6,5,4,4,2,7,6,2,6
8/11/2022 10:48:53,28,6,3,"Robot, Me",1,5,5,3,4,4,4,5,4,5,1
8/11/2022 10:53:29,28,2,3,Me,2,5,3,3,4,4,6,4,4,5,3
8/11/2022 10:55:57,28,7,6,"Robot, Me",1,6,6,6,4,4,2,7,6,2,5
8/11/2022 11:00:13,28,2,2,"Robot, Me",2,5,5,3,4,4,6,3,4,5,2
8/11/2022 11:04:37,28,5,2,Me,2,5,4,3,4,4,5,5,4,5,4
8/11/2022 13:39:37,29,7,6,Me,1,6,6,6,6,6,5,7,6,2,6
8/11/2022 13:46:16,29,2,2,Robot,4,3,3,2,5,4,7,2,4,6,2
8/11/2022 13:52:14,29,4,3,Me,3,4,3,5,3,5,4,5,4,4,3
8/11/2022 13:59:08,29,5,6,None,2,6,6,5,5,5,3,5,5,2,5
8/11/2022 14:03:50,29,6,2,Robot,2,2,5,2,5,2,4,5,1,2,1
8/11/2022 14:09:00,29,4,3,Me,3,4,4,4,4,4,6,3,4,5,4
8/11/2022 14:50:11,30,7,7,"Robot, Me",1,7,7,4,4,4,3,7,7,1,6
8/11/2022 14:55:36,30,3,1,Me,2,3,1,5,6,2,6,4,2,5,3
8/11/2022 15:00:17,30,6,1,Robot,5,3,3,5,2,6,2,5,3,2,2
8/11/2022 15:04:06,30,7,7,"Robot, Me",2,7,7,7,2,2,1,7,7,1,5
8/11/2022 15:08:37,30,6,1,Robot,1,1,5,7,1,7,5,6,1,5,1
8/11/2022 15:13:29,30,3,1,Me,3,1,4,2,4,6,6,4,2,5,4
8/12/2022 9:17:21,57,6,7,Me,1,7,1,7,2,7,3,1,7,7,6
8/12/2022 9:22:55,57,1,1,None,1,2,2,3,1,1,6,4,2,7,4
8/12/2022 9:27:17,57,6,2,Robot,2,2,5,2,6,2,6,6,2,6,1
8/12/2022 9:31:55,57,6,6,Me,1,7,6,7,5,6,6,7,7,6,5
8/12/2022 9:36:30,57,5,2,None,3,3,5,1,2,6,5,5,2,7,3
8/12/2022 9:41:11,57,7,3,Robot,3,2,4,1,2,5,7,7,3,7,2
8/12/2022 11:08:40,58,7,7,Robot,4,7,5,7,4,4,4,7,7,4,6
8/12/2022 11:12:57,58,5,4,None,4,4,4,4,4,4,5,6,4,4,1
8/12/2022 11:18:22,58,5,4,None,4,4,4,4,4,4,4,4,4,4,3
8/12/2022 11:21:17,58,7,4,Robot,4,4,4,7,4,4,1,4,7,4,5
8/12/2022 11:25:29,58,4,4,None,4,4,4,4,4,4,4,3,4,6,2
8/12/2022 11:30:29,58,7,4,None,5,4,4,4,4,7,7,4,4,7,4
8/12/2022 13:18:49,59,6,7,Me,5,7,5,7,6,7,5,3,7,7,6
8/12/2022 13:24:03,59,7,4,None,5,6,4,4,5,6,3,6,6,6,2
8/12/2022 13:27:42,59,5,4,Me,5,6,6,6,4,5,6,4,5,5,3
8/12/2022 13:30:33,59,7,7,Me,2,7,7,6,6,6,2,7,7,2,5
8/12/2022 13:33:58,59,6,2,None,4,3,5,2,4,6,4,6,1,3,1
8/12/2022 13:38:03,59,5,3,Robot,6,6,2,4,7,7,6,4,5,6,4
8/16/2022 13:24:21,60,7,7,"Robot, Me",1,6,6,5,3,3,1,7,5,2,6
8/16/2022 13:28:37,60,5,3,None,2,4,3,4,4,4,2,5,4,5,3
8/16/2022 13:34:44,60,4,4,Me,2,4,3,5,5,3,1,2,5,6,2
8/16/2022 13:38:15,60,6,7,Me,1,6,7,6,4,4,1,7,6,1,5
8/16/2022 13:42:20,60,5,2,None,2,1,6,4,3,6,2,5,2,5,1
8/16/2022 13:48:08,60,3,3,None,2,2,3,4,3,6,3,2,2,7,4
8/16/2022 14:43:23,61,6,6,None,5,5,6,5,3,6,5,7,6,2,6
8/16/2022 14:49:00,61,2,2,None,5,2,5,2,1,7,6,3,2,5,4
8/16/2022 14:53:45,61,6,2,None,3,5,6,2,2,6,3,6,6,2,2
8/16/2022 14:58:38,61,5,6,Me,5,6,6,6,3,5,2,6,6,3,5
8/16/2022 15:03:14,61,7,1,None,2,1,6,4,2,6,2,7,1,1,1
8/16/2022 15:08:09,61,3,3,None,5,3,2,3,1,7,5,4,4,5,3
